Unnamed:_3,count
99999,31
Identificadores únicos,9
"Si, No, 99999",5
"No, Si, 99999",4
"Sur, 99999, Este",2
"99999, A, B",2
"Si, No",2
"1- Hombre, 2- Mujer, 3- intersexual, 99999",2
"3223185759, 3143261254, 3216122022, 3123104339, 3028664374, 3219327178, 3103354734, 3232071588, 3202885286, 3222888431",2
"99999, Sur, Este",2
"2. Bajo, 1. Bajo-bajo, 3. Medio-bajo",2
"Tecnólogo en Salud Ocupacional, Trabajador social, 9999",2
"Trabajador social, Psicólogo, 99999",2
"Colombia, Venezuela (Bolivarian Republic of), Brazil",1
"2- RC, 3- TI, 8- Menor sin ID., 13- PPT Permiso por Protección Temporal, 12- Documento Nacional de Identidad (del país de origen), 4- CE",1
9999/NIÑOS NIÑAS/ADOLESCENTES/SEGUIMIENTO AL EFECTO,1
numerica,1
"Sur, Centro Oriente, Suroccidente, Norte,1,2,3,4",1
"99999, solo numéric",1
"2. Niños - Niñas, 3. Adolescentes, 5. Seguimiento al efecto, 99999",1
