Unnamed:_5,count
nan,121
¿se usara para el analisis?,17
"vacia, se quita del analisis",4
"el 20% esta vacio, indicar con que otras variables se quisiera ver",3
para completar de parte de los SIG,2
esto debe revisarlo los SIG y confirmarnos cual es la dir para geocodificar,2
"El 85% esta vacio, ¿se usara para algun analisis?",1
"El 86% esta vacio, ¿se usara para algun analisis?",1
"solo el 14% esta vacio, indicar si se debe hacer analisis por cada grupo",1
"El 96% esta vacio, ¿se usara para algun analisis?",1
"esta variable aunque es clave tiene un 43% de vacios, se quisiera mirar por tipo de intervencion? O con que cruces podria ser interesante",1
tambien tiene un 43% de vacios,1
se quiere revisar tipo de intervencion por cada etnia?,1
Observaciones,1
por favor indicar que subred es cada numero,1
el 85% no aplica,1
se quiere revisar tipo de intervencion por cada poblacion?,1
"el 43% vacio, se desea alguna revision?",1
"el 90% esta vacio, si se desea algun subgrupo",1
"esta es interesante? Si si, definir agrupaciones como nucleo primario o si se requiere en la granularidad actual",1
"el 14% vacio, se piensa usar en algun analisis?",1
se quiere revisar tipo de intervencion por cada categoria?,1
se quiere revisar tipo de intervencion por cada pueblo?,1
DECIDIR SI SE PODRIA USAR ESTA GRANULARIDAD O BARRIAL,1
SE DEBE POR FAVOR ORIENTAR SI ESTA ES LA QUE SE DEBE TOMAR O LA ANTERIOR,1
ESTA SE TOMARIA PARA EL MAPA DE DESPLAZAMIENTOS,1
"estas variables se preguntan en la parte superior, es importante definir o contextualizar si la primera informacion es del acudiente y esta es del nino/a y como se esperaria el analisis",1
podriamos ver algo interesante con el tipo de trabajo,1
"podriamos ver algo interesante con el tipo de trabajo, vinculacion o lo que consideren",1
estos temas seran analizados? Hacen parte mas del diagnostico que hace el profesional,1
